Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 2366,    7h28m53.6s, +69°12'43.5", 11.33, 8.100, 14.64, 20h00m, +25°29'18.85", 102°05'46.8", galaxia activa
NGC 2367 (Árbol de Navidad de Charlie Brown),    7h20m06.6s, -21°53'09.0", 8.20, 3.500, 10.66, 19h50m, +63°25'08.48", 112°55'19.3", cúmulo estelar abierto
NGC 2368,    7h20m58.7s, -10°22'51.8", 12.07, 5.000, 15.30, 19h51m, +74°55'23.72", 115°12'21.1", cúmulo estelar abierto
NGC 2371 (Nebulosa Gemini),    7h25m35.4s, +29°29'27.5", 11.46, 0.727, 10.51, 19h56m, +65°12'26.99", 114°56'57.1", nebulosa planetaria
NGC 2374,    7h23m56.5s, -13°15'58.5", 8.27, 19.000, 14.40, 19h54m, +72°02'10.88", 115°29'23.0", cúmulo estelar abierto
NGC 2377,    7h24m57.4s, -9°39'44.5", 15.03, 1.897, 15.64, 19h55m, +75°38'22.80", 116°16'26.7", galaxia activa
NGC 2379,    7h27m27.0s, +33°48'42.9", 13.96, 0.597, 12.34, 19h58m, +60°53'15.45", 114°21'45.3", galaxia
NGC 2383,    7h24m40.7s, -20°57'06.3", 8.69, 5.000, 11.92, 19h54m, +64°21'01.65", 114°10'01.8", cúmulo estelar abierto
NGC 2384,    7h25m10.7s, -21°01'32.7", 7.69, 2.500, 9.41, 19h55m, +64°16'34.21", 114°15'51.1", cúmulo estelar abierto
NGC 2387,    7h28m58.7s, +36°52'50.5", 16.77, 0.533, 13.49, 19h59m, +57°49'11.00", 113°52'27.4", galaxia
NGC 2392 (Nebulosa Esquimal),    7h29m11.4s, +20°54'40.7", 9.86, 0.800, 9.03, 19h59m, +73°47'21.05", 117°15'15.0", nebulosa planetaria
NGC 2395,    7h27m06.4s, +13°34'58.4", 8.25, 12.000, 13.38, 19h57m, +81°06'59.05", 117°33'12.2", cúmulo estelar abierto
NGC 2396,    7h28m00.6s, -11°43'12.5", 7.66, 10.000, 12.40, 19h58m, +73°34'48.48", 116°43'01.4", cúmulo de estrellas
NGC 2401,    7h29m25.1s, -13°58'31.0", 12.86, 2.000, 14.10, 19h59m, +71°19'27.07", 116°40'48.7", cúmulo estelar abierto
NGC 2403,    7h36m53.0s, +65°36'20.4", 9.32, 21.900, 15.13, 20h08m, +29°05'58.02", 104°23'07.6", galaxia
NGC 2409 (Firsse 213),    7h31m37.6s, -17°11'47.4", 7.56, 17.000, 13.32, 20h01m, +68°06'06.24", 116°34'57.8", cúmulo asociado con nebulosidad
NGC 2410,    7h35m03.0s, +32°49'21.7", 16.51, 1.370, 16.09, 20h05m, +61°52'52.21", 116°08'50.8", galaxia activa
NGC 2414,    7h33m12.7s, -15°27'22.9", 8.16, 4.000, 10.90, 20h03m, +69°50'27.40", 117°18'20.0", cúmulo estelar abierto
NGC 2415,    7h36m57.6s, +35°14'33.6", 21.61, 0.783, 11.75, 20h07m, +59°27'44.14", 115°52'35.9", galaxia
NGC 2419 (Vagabundo Intergaláctico),    7h38m09.4s, +38°52'58.6", 9.32, 4.600, 12.37, 20h08m, +55°49'21.65", 115°01'22.4", cúmulo estelar globular
NGC 2420 (Cúmulo del Cometa Brillante),    7h38m23.8s, +21°34'21.1", 8.53, 7.000, 12.50, 20h08m, +73°07'59.42", 119°16'17.2", cúmulo estelar abierto
NGC 2421,    7h36m12.7s, -20°37'25.3", 8.56, 8.000, 12.82, 20h06m, +64°40'19.03", 116°51'51.9", cúmulo estelar abierto
NGC 2423,    7h37m06.7s, -13°52'30.9", 6.95, 20.000, 13.19, 20h07m, +71°25'11.47", 118°32'01.8", cúmulo estelar abierto
NGC 2424,    7h40m40.2s, +39°14'04.0", 13.42, 2.223, 13.34, 20h11m, +55°28'21.30", 115°22'25.9", radio galaxia
NGC 2427,    7h36m29.2s, -47°38'25.3", 11.99, 5.350, 14.37, 20h06m, +37°39'18.80", 107°42'29.7", galaxia
NGC 2432,    7h40m53.8s, -19°04'50.1", 10.45, 4.000, 13.20, 20h11m, +66°12'44.76", 118°18'26.2", cúmulo estelar abierto
NGC 2434,    7h34m53.0s, -69°17'20.9", 12.28, 2.093, 13.60, 20h03m, +16°00'27.32", 97°38'07.2", galaxia
NGC 2435,    7h44m14.5s, +31°39'05.8", 13.18, 1.187, 12.49, 20h14m, +63°03'26.53", 118°19'53.1", galaxia
NGC 2438,    7h41m51.2s, -14°44'19.6", 11.04, 1.173, 10.43, 20h12m, +70°33'13.28", 119°29'33.4", nebulosa planetaria
NGC 2439 (Cúmulo Flecha Negra),    7h40m45.9s, -31°41'50.0", 7.19, 9.000, 11.70, 20h10m, +53°35'45.18", 114°35'20.1", cúmulo estelar abierto
NGC 2440 (Nebulosa de la Mariposa Albina),    7h41m55.6s, -18°12'42.4", 9.65, 0.547, 8.08, 20h12m, +67°04'50.38", 118°45'03.2", nebulosa planetaria
NGC 2442 (Galaxia del Gancho Carnicero),    7h36m25.8s, -69°32'08.8", 11.45, 6.197, 14.99, 20h05m, +15°45'36.25", 97°38'03.1", galaxia activa
NGC 2451 (Cúmulo de Escorpio Ortigante),    7h45m24.9s, -37°58'28.0", 9.81, 45.000, 17.82, 20h15m, +47°18'57.96", 113°09'39.8", cúmulo de estrellas
NGC 2452,    7h47m27.1s, -27°20'21.0", 12.26, 0.313, 9.48, 20h17m, +57°57'00.84", 117°24'47.3", nebulosa planetaria
NGC 2453,    7h47m37.5s, -27°11'49.1", 8.56, 5.000, 11.80, 20h17m, +58°05'32.32", 117°29'45.3", cúmulo estelar abierto
NGC 2454,    7h50m35.8s, +16°22'03.5", 13.55, 1.187, 12.61, 20h21m, +78°20'41.36", 122°54'31.6", galaxia
NGC 2455,    7h49m02.7s, -21°17'44.4", 10.44, 5.000, 13.68, 20h19m, +63°59'34.19", 119°34'54.5", cúmulo estelar abierto
NGC 2467 (Nebulosa de Calabera y Tibias Cruzadas),    7h52m19.3s, -26°25'54.9", 7.35, 8.000, 11.46, 20h22m, +58°51'17.29", 118°44'11.0", región HII
NGC 2477 (Cúmulo Guitarra Eléctrica),    7h52m11.0s, -38°32'03.9", 6.10, 27.000, 13.00, 20h22m, +46°45'08.70", 114°08'44.6", cúmulo estelar abierto
NGC 2479,    7h55m08.0s, -17°43'24.4", 9.83, 7.000, 13.79, 20h25m, +67°33'42.23", 121°54'55.1", cúmulo estelar abierto
NGC 2482,    7h55m12.8s, -24°15'42.4", 7.54, 12.000, 12.68, 20h25m, +61°01'24.05", 120°03'27.5", cúmulo estelar abierto
NGC 2483,    7h55m36.9s, -27°54'14.3", 7.85, —, —, 20h25m, +57°22'51.48", 118°55'26.3", cúmulo estelar abierto
NGC 2484,    7h58m29.1s, +37°47'14.6", 15.13, 1.290, 14.41, 20h29m, +56°55'45.88", 119°08'36.8", galaxia
NGC 2486,    7h57m57.3s, +25°09'38.4", 13.47, 1.293, 13.29, 20h28m, +69°33'20.86", 122°55'47.3", galaxia
NGC 2487,    7h58m21.3s, +25°08'56.3", 12.44, 1.687, 13.10, 20h28m, +69°34'03.74", 123°01'13.2", radio galaxia
NGC 2489,    7h56m16.0s, -30°04'01.4", 8.16, 7.000, 12.12, 20h26m, +55°13'03.10", 118°16'36.5", cúmulo estelar abierto
NGC 2490,    7h59m18.7s, +27°04'39.9", 14.40, 0.588, 12.69, 20h29m, +67°38'22.06", 122°43'55.0", galaxia
NGC 2491,    7h58m28.2s, +7°58'55.9", 15.36, 0.407, 12.62, 20h28m, +86°44'04.19", 125°35'02.9", galaxia
NGC 2492,    7h59m30.6s, +27°01'34.5", 13.28, 0.997, 12.77, 20h30m, +67°41'27.79", 122°47'17.1", galaxia
NGC 2493,    8h00m24.7s, +39°49'52.7", 12.46, 1.903, 13.11, 20h31m, +54°53'11.45", 118°43'01.0", galaxia
NGC 2496,    7h58m38.1s, +8°01'40.8", 13.71, 1.230, 13.81, 20h29m, +86°41'19.60", 125°37'23.3", radio galaxia
NGC 2500,    8h01m54.5s, +50°44'19.9", 11.89, 2.300, 12.99, 20h32m, +43°58'47.37", 114°13'44.7", galaxia activa
NGC 2503,    8h00m37.5s, +22°23'58.4", 14.14, 1.683, 14.34, 20h31m, +72°19'06.01", 124°10'02.4", galaxia
NGC 2505,    8h04m08.2s, +53°33'04.3", 13.63, 1.480, 13.74, 20h35m, +41°10'07.31", 113°09'52.0", galaxia
NGC 2506,    8h00m01.8s, -10°46'22.8", 7.81, 12.000, 12.95, 20h30m, +74°30'34.25", 124°36'49.3", cúmulo estelar abierto
NGC 2509,    8h00m41.6s, -19°04'24.5", 9.52, 4.000, 12.27, 20h30m, +66°12'31.27", 122°49'32.8", cúmulo estelar abierto
NGC 2512,    8h03m08.7s, +23°23'29.2", 13.40, 1.067, 13.12, 20h33m, +71°19'40.05", 124°30'17.5", galaxia
NGC 2513,    8h02m25.5s, +9°24'43.3", 12.07, 1.760, 12.80, 20h32m, +85°18'24.42", 126°28'52.4", galaxia
NGC 2516 (Colmena del Sur),    7h58m05.7s, -60°45'27.9", 4.34, 22.000, 10.79, 20h27m, +24°31'33.67", 104°07'29.4", cúmulo estelar abierto
NGC 2518,    8h07m21.5s, +51°08'00.1", 13.33, 1.080, 12.91, 20h38m, +43°35'17.49", 114°47'24.8", galaxia
NGC 2526,    8h06m59.4s, +8°00'07.9", 14.16, 0.827, 12.78, 20h37m, +86°43'08.58", 127°41'25.3", interacción galaxias
NGC 2527,    8h04m59.0s, -28°09'03.3", 6.74, 22.000, 13.19, 20h35m, +57°07'44.41", 120°45'33.9", cúmulo estelar abierto
NGC 2532,    8h10m16.2s, +33°57'24.7", 13.57, 1.867, 13.79, 20h40m, +60°45'58.20", 122°46'27.3", galaxia
NGC 2533,    8h07m05.0s, -29°53'13.1", 7.84, 3.500, 10.30, 20h37m, +55°23'30.62", 120°30'29.7", cúmulo estelar abierto
NGC 2534,    8h12m55.6s, +55°40'26.4", 13.88, 0.810, 13.09, 20h43m, +39°03'01.83", 113°09'09.4", galaxia
NGC 2535,    8h11m14.4s, +25°12'23.7", 12.80, 1.623, 13.11, 20h41m, +69°31'00.87", 125°49'06.7", radio galaxia
NGC 2536,    8h11m17.0s, +25°10'44.1", 14.13, 0.597, 12.50, 20h41m, +69°32'40.57", 125°50'08.6", interacción galaxias
NGC 2537 (Galaxia Garra del Oso),    8h13m15.8s, +45°59'27.8", 11.93, 2.230, 13.22, 20h44m, +48°44'00.79", 118°09'04.0", interacción galaxias
NGC 2539 (Cúmulo del Plato),    8h10m37.8s, -12°49'15.9", 6.70, 21.000, 13.05, 20h40m, +72°27'20.95", 126°43'40.8", cúmulo estelar abierto
NGC 2541,    8h14m41.4s, +49°03'46.5", 12.05, 2.607, 13.05, 20h45m, +45°39'44.78", 116°50'38.1", galaxia
NGC 2543,    8h12m59.0s, +36°15'18.1", 13.12, 2.383, 13.65, 20h43m, +58°28'09.87", 122°24'12.6", interacción galaxias
NGC 2544,    8h21m43.5s, +73°59'29.1", 13.55, 1.627, 13.76, 20h53m, +20°44'16.11", 103°01'43.4", interacción galaxias
NGC 2545,    8h14m15.0s, +21°21'17.5", 13.05, 1.670, 13.05, 20h44m, +73°22'12.70", 127°29'02.1", galaxia activa
NGC 2546 (Cúmulo Corazón y Daga),    8h12m15.9s, -37°35'57.2", 6.57, 40.000, 14.31, 20h42m, +47°40'36.89", 118°05'52.0", cúmulo estelar abierto
NGC 2547 (Cúmulo Pendiente Dorado),    8h09m56.0s, -49°12'34.2", 5.04, 15.000, 10.66, 20h39m, +36°04'04.38", 111°49'21.5", cúmulo estelar abierto
NGC 2551,    8h24m53.4s, +73°24'53.9", 12.56, 1.163, 12.14, 20h56m, +21°18'56.96", 103°34'10.8", galaxia
NGC 2552,    8h19m20.9s, +50°00'26.2", 12.37, 3.500, 14.37, 20h50m, +44°43'13.70", 117°00'06.5", galaxia
NGC 2562,    8h20m24.6s, +21°07'50.8", 13.25, 0.877, 11.99, 20h50m, +73°35'50.73", 128°55'49.4", galaxia
NGC 2563 (Cúmulo de Cáncer),    8h20m36.6s, +21°04'01.7", 12.58, 1.510, 12.94, 20h51m, +73°39'40.19", 128°59'29.3", galaxia
NGC 2565,    8h19m49.3s, +22°01'50.8", 13.17, 1.427, 12.74, 20h50m, +72°41'49.62", 128°34'05.4", galaxia
NGC 2567,    8h18m32.9s, -30°38'38.1", 7.63, 10.000, 12.37, 20h48m, +54°37'44.23", 122°26'22.2", cúmulo estelar abierto
NGC 2571,    8h18m56.9s, -29°45'14.0", 7.23, 13.000, 12.54, 20h48m, +55°31'07.62", 122°54'16.4", cúmulo estelar abierto
NGC 2572,    8h21m25.5s, +19°08'48.4", 14.09, 0.923, 12.99, 20h51m, +75°34'54.97", 129°38'02.7", galaxia
NGC 2575,    8h22m45.9s, +24°17'47.6", 13.70, 1.900, 14.51, 20h53m, +70°25'58.18", 128°35'10.3", galaxia
NGC 2577,    8h22m44.4s, +22°33'08.7", 12.45, 1.367, 12.07, 20h53m, +72°10'37.07", 129°04'45.4", interacción galaxias
NGC 2578,    8h21m25.2s, -13°19'15.6", 13.23, 2.003, 13.59, 20h51m, +71°57'01.28", 129°09'31.9", galaxia activa
NGC 2579,    8h20m56.4s, -36°13'37.9", 7.75, 1.500, 8.29, 20h50m, +49°02'40.14", 120°16'44.3", región HII
NGC 2580,    8h21m31.5s, -30°17'56.0", 9.93, 7.000, 13.89, 20h51m, +54°58'20.91", 123°10'02.0", cúmulo estelar abierto
NGC 2587,    8h23m26.7s, -29°29'48.6", 9.42, 9.000, 13.93, 20h53m, +55°46'24.79", 123°53'44.7", cúmulo estelar abierto
NGC 2588,    8h23m14.2s, -32°58'26.3", 12.03, 2.000, 13.28, 20h53m, +52°17'47.54", 122°15'50.5", cúmulo estelar abierto
NGC 2590,    8h25m02.9s, -0°35'37.5", 13.31, 1.740, 13.14, 20h55m, +84°40'32.77", 132°08'07.2", galaxia
NGC 2592,    8h27m09.1s, +25°58'11.8", 12.66, 0.930, 12.08, 20h57m, +68°45'41.93", 129°00'15.2", galaxia
NGC 2595,    8h27m42.9s, +21°28'42.1", 13.34, 1.847, 14.12, 20h58m, +73°15'12.62", 130°28'55.8", galaxia activa
NGC 2596,    8h27m27.4s, +17°16'59.2", 13.87, 1.497, 13.64, 20h57m, +77°26'54.97", 131°26'23.3", radio galaxia
NGC 2599,    8h32m12.3s, +22°33'35.6", 12.84, 1.233, 12.89, 21h02m, +72°10'27.02", 131°10'14.2", posible cuásar
NGC 2600,    8h34m46.6s, +52°43'02.1", 14.69, 1.117, 13.68, 21h05m, +42°01'05.44", 117°27'40.8", galaxia
NGC 2602,    8h35m05.8s, +52°49'59.2", 15.05, 0.520, 12.95, 21h05m, +41°54'08.84", 117°25'50.4", galaxia
NGC 2604,    8h33m24.1s, +29°32'18.4", 15.11, 2.300, 15.11, 21h03m, +65°11'46.41", 129°00'15.0", galaxia activa
NGC 2606,    8h35m36.0s, +52°47'25.0", 17.27, 0.923, 16.24, 21h06m, +41°56'43.89", 117°31'01.4", galaxia activa
NGC 2607,    8h33m57.7s, +26°58'20.6", 14.38, 0.357, 11.79, 21h04m, +67°45'45.13", 130°05'13.4", galaxia
NGC 2608,    8h35m18.4s, +28°28'23.7", 13.36, 2.703, 14.42, 21h05m, +66°15'44.44", 129°48'07.7", interacción galaxias
NGC 2610,    8h33m24.4s, -16°09'09.0", 12.89, 0.573, 11.42, 21h03m, +69°06'46.56", 131°08'07.0", nebulosa planetaria
NGC 2613,    8h33m23.8s, -22°58'37.8", 10.62, 5.953, 12.77, 21h03m, +62°17'17.79", 128°40'41.1", galaxia
NGC 2618,    8h35m54.5s, +0°42'18.0", 13.03, 2.460, 14.51, 21h06m, +85°58'09.05", 134°55'27.7", galaxia
NGC 2619,    8h37m33.8s, +28°42'17.8", 12.90, 1.667, 13.04, 21h08m, +66°01'54.25", 130°10'03.9", galaxia activa
NGC 2620,    8h37m29.2s, +24°56'45.8", 14.16, 1.533, 13.72, 21h07m, +69°47'26.05", 131°32'45.6", galaxia
NGC 2621,    8h37m38.0s, +24°59'56.8", 14.73, 0.463, 12.77, 21h08m, +69°44'15.31", 131°33'31.0", galaxia
NGC 2622,    8h38m12.0s, +24°53'41.0", 14.30, 0.727, 13.13, 21h08m, +69°50'32.12", 131°42'55.1", galaxia activa
NGC 2623,    8h38m25.1s, +25°45'14.9", 13.54, 0.580, 11.93, 21h08m, +68°58'58.56", 131°27'28.6", interacción galaxias
NGC 2627,    8h37m16.0s, -29°57'31.5", 8.61, 8.000, 12.86, 21h07m, +55°18'17.46", 126°20'11.6", cúmulo estelar abierto
NGC 2628,    8h40m23.7s, +23°32'20.6", 13.65, 1.243, 13.59, 21h10m, +71°11'56.26", 132°38'53.5", radio galaxia
NGC 2635,    8h38m29.2s, -34°45'49.9", 11.43, 3.000, 13.55, 21h08m, +50°29'56.90", 124°05'38.5", cúmulo estelar abierto
NGC 2637,    8h41m14.4s, +19°41'24.7", 15.51, 0.653, 13.33, 21h11m, +75°02'53.59", 134°01'04.6", galaxia
NGC 2638,    8h42m26.9s, +37°13'17.2", 13.46, 1.117, 12.54, 21h12m, +57°31'03.26", 127°13'42.0", galaxia
NGC 2639,    8h43m39.6s, +50°12'24.3", 11.88, 1.723, 12.07, 21h14m, +44°31'58.39", 120°05'02.8", galaxia activa
NGC 2642,    8h40m45.3s, -4°07'27.3", 13.64, 2.600, 13.47, 21h10m, +81°08'15.41", 135°40'23.2", galaxia
NGC 2645,    8h39m04.2s, -46°14'13.6", 7.60, —, —, 21h08m, +39°01'32.36", 117°32'06.8", cúmulo estelar abierto
NGC 2647,    8h42m44.2s, +19°38'58.8", 14.36, 0.700, 13.18, 21h13m, +75°05'21.97", 134°22'01.9", galaxia
NGC 2648,    8h42m40.8s, +14°17'03.0", 11.99, 1.693, 12.12, 21h13m, +80°27'17.67", 135°38'07.9", interacción galaxias
NGC 2649,    8h44m09.5s, +34°43'02.2", 13.15, 1.807, 13.96, 21h14m, +60°01'21.19", 128°46'17.7", galaxia
NGC 2651,    8h43m56.1s, +11°46'10.6", 15.35, 0.587, 13.64, 21h14m, +82°58'12.24", 136°22'19.1", galaxia activa
NGC 2655,    8h55m42.6s, +78°13'32.9", 11.60, 3.460, 13.79, 21h27m, +16°31'10.87", 101°32'06.8", galaxia activa
NGC 2656,    8h47m54.8s, +53°52'39.4", 15.24, 0.833, 14.45, 21h18m, +40°51'50.42", 118°16'08.3", galaxia
NGC 2658,    8h43m31.1s, -32°40'07.6", 9.41, 9.000, 13.92, 21h13m, +52°35'30.66", 126°05'55.9", cúmulo estelar abierto
NGC 2659,    8h42m37.3s, -44°59'02.6", 8.87, 10.000, 13.60, 21h12m, +40°16'37.29", 118°47'57.8", cúmulo estelar abierto
NGC 2660,    8h42m39.3s, -47°12'14.7", 9.08, 1.500, 9.70, 21h12m, +38°03'25.15", 117°24'31.2", cúmulo estelar abierto
NGC 2661,    8h46m00.5s, +12°37'06.5", 13.62, 1.400, 13.67, 21h16m, +82°07'19.82", 136°44'06.4", galaxia
NGC 2663,    8h45m09.4s, -33°47'54.8", 12.55, 3.850, 14.39, 21h15m, +51°27'40.71", 125°46'30.3", galaxia
NGC 2668,    8h49m23.8s, +36°42'38.2", 14.08, 1.200, 13.37, 21h19m, +58°01'53.87", 128°40'50.5", galaxia
NGC 2669,    8h46m23.7s, -52°57'07.5", 6.42, 12.000, 11.55, 21h16m, +32°18'26.13", 114°05'47.5", cúmulo estelar abierto
NGC 2670,    8h45m31.5s, -48°48'14.6", 8.09, 15.000, 13.71, 21h15m, +36°27'20.41", 116°44'46.8", cúmulo estelar abierto
NGC 2671,    8h46m14.0s, -41°52'15.4", 11.85, 4.000, 14.59, 21h16m, +43°23'18.29", 121°14'23.0", cúmulo estelar abierto
NGC 2672,    8h49m22.9s, +19°04'26.1", 12.05, 2.050, 13.18, 21h19m, +75°40'05.82", 136°02'02.2", interacción galaxias
NGC 2675,    8h52m06.6s, +53°37'07.4", 13.50, 0.910, 12.71, 21h22m, +41°07'29.40", 118°54'24.9", galaxia
NGC 2676,    8h51m37.1s, +47°33'31.3", 13.70, 0.970, 13.28, 21h22m, +47°11'04.56", 122°45'04.0", galaxia activa
NGC 2679,    8h51m34.1s, +30°51'54.7", 13.29, 1.670, 13.62, 21h22m, +63°52'40.97", 131°58'41.9", interacción galaxias
NGC 2681,    8h53m34.3s, +51°18'53.5", 10.52, 2.447, 12.06, 21h24m, +43°25'45.63", 120°35'32.5", galaxia activa
NGC 2685 (Galaxia Hélice),    8h55m36.7s, +58°44'09.6", 12.96, 1.953, 13.13, 21h26m, +36°00'32.91", 115°46'35.0", galaxia activa
NGC 2686 (Galaxia del Huso),    8h55m00.5s, +49°08'36.0", 17.34, 0.813, 16.36, 21h25m, +45°36'05.41", 122°10'45.8", galaxia activa
NGC 2688,    8h55m13.1s, +49°07'25.3", 15.68, 0.527, 13.57, 21h25m, +45°37'16.42", 122°13'06.5", galaxia
NGC 2691,    8h54m47.6s, +39°32'20.9", 14.29, 0.933, 13.25, 21h25m, +55°12'20.05", 128°01'01.6", galaxia activa
NGC 2693,    8h57m00.8s, +51°20'54.5", 12.11, 1.880, 12.80, 21h27m, +43°23'50.21", 120°58'25.7", galaxia
NGC 2710,    8h59m50.1s, +55°42'28.0", 13.51, 2.300, 13.88, 21h30m, +39°02'21.21", 118°18'07.9", galaxia
NGC 2713,    8h57m21.5s, +2°55'09.6", 12.48, 2.243, 13.41, 21h27m, +88°10'24.77", 140°21'02.2", radio galaxia
NGC 2718,    8h58m51.5s, +6°17'28.6", 14.40, 2.113, 14.71, 21h29m, +88°27'18.61", 140°38'00.5", galaxia activa
NGC 2726,    9h04m58.9s, +59°56'04.2", 13.34, 1.603, 13.00, 21h35m, +34°48'53.18", 115°45'04.4", galaxia
NGC 2729,    9h01m29.7s, +3°43'06.6", 13.74, 0.923, 12.86, 21h31m, +88°58'15.24", 141°22'58.3", galaxia
NGC 2742,    9h07m35.6s, +60°28'50.9", 11.93, 2.633, 12.98, 21h38m, +34°16'10.49", 115°33'59.1", galaxia
NGC 2746,    9h06m00.7s, +35°22'38.6", 13.30, 2.103, 13.90, 21h36m, +59°22'20.07", 132°13'14.7", galaxia activa
NGC 2752,    9h05m44.1s, +18°20'18.4", 20.03, 1.980, 14.43, 21h36m, +76°24'39.75", 139°56'45.5", radio galaxia
NGC 2756,    9h09m02.7s, +53°51'02.1", 13.12, 1.377, 13.03, 21h39m, +40°54'01.41", 120°33'19.3", galaxia
NGC 2759,    9h08m38.6s, +37°37'17.6", 13.32, 1.027, 12.73, 21h39m, +57°07'45.13", 131°20'01.0", galaxia
NGC 2761,    9h07m31.9s, +18°26'01.4", 14.69, 0.727, 13.02, 21h37m, +76°18'59.44", 140°19'05.7", radio galaxia
NGC 2764,    9h08m18.6s, +21°26'32.8", 13.23, 1.470, 12.64, 21h38m, +73°18'29.28", 139°25'03.5", galaxia
NGC 2765,    9h07m37.7s, +3°23'27.3", 12.76, 1.863, 12.90, 21h37m, +88°38'26.38", 142°54'55.7", galaxia
NGC 2766,    9h08m48.7s, +29°51'51.5", 13.91, 1.273, 13.00, 21h39m, +64°53'11.42", 135°42'36.2", galaxia
NGC 2767,    9h10m13.5s, +50°24'07.9", 13.97, 0.693, 12.56, 21h40m, +44°20'57.28", 123°08'20.7", galaxia
NGC 2768,    9h11m39.6s, +60°02'19.1", 10.13, 5.200, 12.61, 21h42m, +34°42'48.48", 116°13'54.2", galaxia activa
NGC 2769 (Grupo NGC 2769),    9h10m33.7s, +50°26'03.2", 13.36, 1.643, 12.63, 21h41m, +44°19'02.58", 123°09'16.3", interacción galaxias
NGC 2770 (Fábrica de Supernovas),    9h09m34.9s, +33°07'23.3", 12.76, 2.633, 12.65, 21h39m, +61°37'40.74", 134°06'02.6", galaxia
NGC 2773,    9h09m45.2s, +7°10'18.9", 14.40, 0.563, 12.18, 21h39m, +87°34'45.35", 143°15'43.6", radio galaxia
NGC 2775,    9h10m21.2s, +7°02'09.8", 10.63, 4.300, 13.25, 21h40m, +87°42'55.34", 143°25'21.3", galaxia
NGC 2776,    9h12m16.0s, +44°57'19.3", 11.89, 2.147, 13.07, 21h42m, +49°47'48.91", 127°09'13.2", galaxia activa
NGC 2777,    9h10m42.9s, +7°12'17.4", 14.09, 0.857, 12.86, 21h40m, +87°32'48.26", 143°29'47.8", galaxia
NGC 2782,    9h14m06.5s, +40°06'50.2", 11.81, 1.733, 12.48, 21h44m, +54°38'20.76", 130°36'37.2", galaxia activa
NGC 2783,    9h13m40.7s, +29°59'32.3", 12.95, 1.543, 13.22, 21h44m, +64°45'37.97", 136°32'27.9", galaxia activa
NGC 2784,    9h12m20.6s, -24°10'33.1", 10.34, 4.170, 12.42, 21h42m, +61°04'18.96", 136°00'04.4", galaxia
NGC 2787,    9h19m21.5s, +69°12'18.8", 12.13, 2.490, 13.36, 21h50m, +25°33'00.35", 109°35'54.2", galaxia activa
NGC 2789,    9h15m00.8s, +29°43'47.3", 13.23, 0.810, 12.15, 21h45m, +65°01'24.92", 136°55'33.9", radio galaxia
NGC 2790,    9h15m03.9s, +19°41'45.0", 14.55, 0.467, 12.51, 21h45m, +75°03'27.21", 141°32'34.1", radio galaxia
NGC 2791,    9h15m03.1s, +17°35'27.6", 14.82, 0.733, 12.84, 21h45m, +77°09'44.59", 142°17'02.2", galaxia
NGC 2792,    9h12m28.0s, -42°25'52.0", 11.83, 0.500, 9.97, 21h42m, +42°49'00.00", 124°31'31.0", nebulosa planetaria
NGC 2794,    9h16m02.9s, +17°35'18.8", 13.60, 0.960, 13.16, 21h46m, +77°09'54.83", 142°30'31.2", galaxia activa
NGC 2795,    9h16m05.0s, +17°37'37.8", 13.04, 1.440, 13.40, 21h46m, +77°07'35.88", 142°30'12.8", galaxia
NGC 2796,    9h16m43.1s, +30°54'53.5", 13.39, 1.027, 12.77, 21h47m, +63°50'21.28", 136°35'14.5", galaxia activa
NGC 2797,    9h16m22.8s, +17°43'33.5", 14.42, 0.783, 12.96, 21h46m, +77°01'40.71", 142°32'12.3", galaxia
NGC 2798,    9h17m24.4s, +41°59'59.7", 12.51, 1.237, 12.11, 21h47m, +52°45'16.07", 129°50'08.9", interacción galaxias
NGC 2799,    9h17m32.5s, +41°59'39.7", 13.90, 1.357, 12.99, 21h47m, +52°45'36.34", 129°51'29.1", interacción galaxias
NGC 2801,    9h16m45.3s, +19°56'04.6", 14.89, 0.913, 14.10, 21h47m, +74°49'10.10", 141°49'13.0", galaxia
NGC 2802,    9h16m42.5s, +18°57'44.4", 14.62, 0.690, 13.00, 21h46m, +75°47'30.22", 142°10'27.1", galaxia
NGC 2803,    9h16m45.0s, +18°57'12.4", 14.19, 0.827, 13.27, 21h46m, +75°48'02.30", 142°11'11.4", galaxia
NGC 2804,    9h16m51.1s, +20°11'50.8", 13.11, 1.393, 13.27, 21h47m, +74°33'24.08", 141°44'23.1", galaxia
NGC 2806,    9h16m58.8s, +20°01'40.7", 15.01, 0.613, 13.05, 21h47m, +74°43'34.31", 141°49'59.1", galaxia
NGC 2808,    9h12m05.6s, -64°52'01.6", 6.14, 5.000, 9.38, 21h41m, +20°22'51.30", 107°36'19.1", cúmulo estelar globular
NGC 2809,    9h17m08.0s, +20°04'06.7", 13.31, 0.973, 12.85, 21h47m, +74°41'08.57", 141°51'02.6", galaxia
NGC 2812,    9h17m41.9s, +19°55'03.9", 15.43, 0.507, 12.75, 21h47m, +74°50'12.16", 142°01'52.7", galaxia
NGC 2813,    9h17m46.6s, +19°54'19.9", 14.15, 0.790, 12.89, 21h48m, +74°50'56.30", 142°03'10.6", galaxia
